created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-21 17:53:32 UTC,"If You Invested $15 In Shiba Inu On Day One, You'd Be A Millionaire Now - Shiba Inu ($SHIB) | Benzinga  $SHIB 🥷  https://t.co/TZucV504O3",davidgokhshtein,[],['shib'],330,1392,262
2021-11-20 06:19:07 UTC,Shiba Inu in danger of ‘topping signal’ as $SHIB price loses 50% in 3 weeks   https://t.co/JQQh1h4JXU via,davidgokhshtein,[],['shib'],322,1359,712
2021-11-18 14:47:52 UTC,"I respect $DOGE — I’ve stated that multiple times, but to say that it’s the only Meme that can exist is ridiculous.  Be flattered that someone used the Shiba to market themselves.",davidgokhshtein,[],['doge'],83,715,196
2021-11-18 12:46:14 UTC,Shiba Inu Needs 'No one' But its Community to Thrive and Survive  $SHIB  https://t.co/GkYJYMGuny,davidgokhshtein,[],['shib'],989,3451,311
2021-11-17 02:21:47 UTC,Shiba Inu Update: Bricks Buster and AMC To Support $SHIB Army - Investors King  https://t.co/FGEfZvyu9w,davidgokhshtein,[],['shib'],408,1381,96
2021-11-10 14:49:05 UTC,Shiba Inu's Growing Demand Drives AMC to Add $SHIB as Crypto Payment Option  https://t.co/daC9K2f6NI via,davidgokhshtein,[],['shib'],793,2433,134
2021-11-09 14:59:35 UTC,$AMC Explores Addition of Shiba Inu to Crypto Payments Lineup  https://t.co/W93vcu7CPI  $SHIB,davidgokhshtein,[],"['amc', 'shib']",211,692,60
2021-11-09 10:10:16 UTC,AMC Explores Addition of Shiba Inu to Crypto Payments Lineup  https://t.co/nAg7ZEXqMC  $SHIB 👀,davidgokhshtein,[],['shib'],598,1894,162
2021-11-05 13:47:51 UTC,Shiba Inu Price Down As 'Whale' Moves 40 Trillion Tokens Between Wallets  https://t.co/ZzEGiQLdlq,davidgokhshtein,[],[],345,1786,466
2021-11-04 18:53:54 UTC,"When I was talking and defending $DOGE from attacks (on a daily), no one was saying I was paid to do it.   I bought a bag of $SHIB or $FLOKI and that all changed. 😏   helpppppppp a fellow Inu!",davidgokhshtein,[],"['doge', 'shib', 'floki']",141,900,203
2021-11-01 06:59:02 UTC,The Next Shiba Inu? Facebook Meta Sends The Price Of This Minor Bitcoin Rival Soaring 300% To $6 Billion  $SHIB $MANA $PAC  https://t.co/iAxNmWTh0g,davidgokhshtein,[],"['shib', 'mana', 'pac']",144,614,139
2021-10-27 15:14:21 UTC,Shiba inu coin price hits a new record as Robinhood petition gains popularity - CNN   $SHIB is 🔥 right now.   https://t.co/QzM1PhMEJf,davidgokhshtein,[],['shib'],748,2439,118
2021-10-25 07:44:26 UTC,Does Elon Musk's preference for Dogecoin over Shiba Inu make a difference - AMBCrypto  $DOGE $SHIB  https://t.co/42lzYZQ5nU,davidgokhshtein,[],"['doge', 'shib']",92,513,164
2021-10-22 16:00:03 UTC,TV Host Asks Robinhood CEO if Shiba Inu Would Be Listed on the Platform  https://t.co/kR74eDHQiX via  $SHIB  Opens the door for other #cryptocurrencies to be listed.,davidgokhshtein,['cryptocurrencies'],['shib'],132,434,109
2021-10-21 15:36:22 UTC,"Robinhood Adds New ‘Altcoins’ Tab on its App, Fuels Shiba Inu Listing  https://t.co/2j7uwpdHbk via   Robinhood wants to make money. Adding high volume tokens like $SHIB helps them do that.   When PAC though?",davidgokhshtein,[],['shib'],508,1535,158
2021-10-18 14:07:31 UTC,"Shiba Inu could Reach 50 Cents By December 2022? Here's the Math Behind the Milestone   Matt, did you write this article? 😆 $SHIB  https://t.co/WEHvFqxCh5 via",davidgokhshtein,[],['shib'],556,1746,347
2021-10-10 00:51:42 UTC,"Based on activity, engagement, and following, the top 1-day influencers include:            https://t.co/AYDGtKcFpe",davidgokhshtein,[],[],15,73,28
2021-10-08 17:59:02 UTC,"Based on activity, engagement, and following, the top 1-day influencers include:            https://t.co/AYDGtKcFpe",davidgokhshtein,[],[],7,55,16
2021-10-08 13:16:24 UTC,Don’t need clout.   Clout makes no gains for me.   Brings mo adoption either.,davidgokhshtein,[],[],0,3,3
2021-10-04 16:44:29 UTC,Shiba Inu Knocks Out a Zero From its Trade; the Coin is Now Trading with Four Zeroes  https://t.co/PYbCMdctJM via   $SHIB is going wild.,davidgokhshtein,[],['shib'],197,667,80
